MMIN,MMAX,CACH,CHMIN,CHMAX,MYCT,class
512,1000,low,8,20,125,low
2000,8000,low,2,14,125,low
256,6000,high,16,128,125,low
1000,12000,low,3,12,133,low
1000,8000,low,3,12,133,low
2000,4000,low,1,20,140,low
2000,4000,low,3,6,140,low
2000,4000,low,1,20,140,low
2000,4000,low,4,8,140,low
2000,8000,low,1,54,140,low
2000,32000,low,1,20,140,low
1000,16000,low,1,3,140,low
2000,32000,low,1,54,140,low
2000,32000,low,1,54,140,low
512,5000,low,7,32,143,low
1500,6300,low,5,32,143,low
1000,2000,low,5,16,143,low
3100,6200,low,5,20,143,low
2300,6200,low,6,64,143,low
512,4000,low,8,128,150,low
512,4000,low,1,5,160,low
512,2000,low,3,8,160,low
1000,4000,low,1,14,160,low
1000,8000,low,1,14,160,low
2000,8000,low,1,13,160,low
524,2000,low,4,15,167,low
256,2000,low,3,24,175,low
262,4000,low,1,3,180,low
512,4000,low,1,3,180,low
262,4000,low,1,3,180,low
512,4000,low,1,3,180,low
2000,8000,low,1,6,180,low
2000,16000,low,1,6,180,low
768,12000,low,1,31,180,low
2000,16000,low,1,6,185,low
1000,2000,low,1,2,200,low
1000,4000,low,1,4,200,low
512,16000,low,4,32,200,low
1000,8000,low,1,2,200,low
2000,8000,low,1,5,200,low
512,8000,low,1,8,200,low
1000,2000,low,1,5,203,low
1000,8000,low,1,2,220,low
1000,4000,low,3,6,225,low
2000,4000,low,3,6,225,low
2000,4000,low,3,6,225,low
512,1000,low,1,3,240,low
512,2000,low,1,5,240,low
512,4000,low,1,7,250,low
512,4000,low,4,7,250,low
1000,16000,low,1,8,250,low
768,3000,low,6,24,300,low
192,768,low,6,24,300,low
1000,4000,low,3,64,300,low
1000,16000,low,2,112,300,low
768,3000,low,6,24,300,low
768,4500,low,1,24,300,low
768,12000,low,6,24,300,low
384,12000,low,1,24,300,low
128,6000,low,1,12,320,low
256,3000,low,1,3,320,low
256,5000,low,1,6,320,low
256,6000,low,1,6,320,low
512,8000,low,1,5,320,low
512,2000,low,1,3,320,low
512,5000,low,1,5,320,low
1000,3000,low,2,4,330,low
1000,2000,low,1,2,330,low
1000,4000,low,3,6,330,low
64,64,low,1,4,350,low
2000,4000,low,1,1,400,low
4000,8000,low,1,1,400,low
1000,3000,low,1,2,400,low
512,3500,low,1,6,400,low
96,512,low,1,1,480,low
1000,4000,low,0,0,480,low
512,8000,low,0,0,480,low
768,2000,low,1,1,600,low
384,8000,low,1,1,700,low
256,2000,low,1,1,700,low
256,8000,low,1,4,800,low
256,8000,low,1,4,800,low
256,8000,low,1,4,800,low
256,8000,low,1,4,800,low
768,2000,low,0,0,800,low
256,8000,low,1,4,800,low
512,512,low,1,1,810,low
1000,5000,low,1,1,810,low
1000,1000,low,1,2,900,low
512,1000,low,1,2,900,low
1000,4000,low,1,2,900,low
1000,4000,low,1,2,900,low
2000,4000,low,3,6,900,low
512,1500,low,1,1,1100,low
768,2000,low,1,1,1100,low
768,1000,low,0,0,1500,low
768,2000,low,0,0,1500,low
16000,32000,low,16,32,23,moderate
16000,64000,low,16,32,23,moderate
8000,32000,moderate,24,32,26,moderate
16000,32000,low,16,24,26,moderate
16000,32000,low,8,24,26,moderate
16000,32000,high,16,24,30,moderate
16000,32000,moderate,16,32,38,moderate
4000,32000,moderate,52,104,50,moderate
32000,64000,moderate,32,64,23,high
8000,64000,moderate,12,176,30,high
8000,64000,moderate,12,176,30,high
